tipo_regra,nome_fez,carater_fez,creditos_fez,nome_obtem,carater_obtem,creditos_obtem
mapeamento não direto,INTELIGÊNCIA ARTIFICIAL AVANÇADA,Eletiva,4,Aprendizado de Máquina,Obrigatória,4
mapeamento direto,INTELIGÊNCIA ARTIFICIAL AVANÇADA,Eletiva,4,Inteligencia Artificial Avancada,Eletiva,4
mapeamento não direto,LINGUAGENS FORMAIS E AUTÔMATOS N,Obrigatória,4,Teoria da Computação I - Linguagens Formais e Autômatos,Obrigatória,4
mapeamento direto,CATEGORIAS COMPUTACIONAIS N,Eletiva,4,Categorias Computacionais N,Eletiva,4
mapeamento não direto,FUNDAMENTOS DE ALGORITMOS,Obrigatória,4,Pensamento Computacional,Obrigatória,4
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO IX,Eletiva,4,TOPICOS ESPECIAIS EM COMPUTACAO IX,Eletiva,4
mapeamento não direto,OTIMIZAÇÃO COMBINATÓRIA,Obrigatória,4,Projeto e Análise de Algoritmos III,Obrigatória,4
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XIII,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XIII,Eletiva,2
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XIV,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XIV,Eletiva,2
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XV,Eletiva,4,TOPICOS ESPECIAIS EM COMPUTACAO XV,Eletiva,4
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XIX,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XIX,Eletiva,2
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XX,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XX,Eletiva,2
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXI,Eletiva,4,TOPICOS ESPECIAIS EM COMPUTACAO XXI,Eletiva,4
mapeamento direto,BIOLOGIA COMPUTACIONAL,Eletiva,4,Biologia Computacional,Eletiva,4
mapeamento direto,AGENTES AUTÔNOMOS E SISTEMAS MULTIAGENTES,Eletiva,4,Agentes Autonomos e Sistemas Multiagentes,Eletiva,4
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXV,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XXV,Eletiva,2
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXVI,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XXVI,Eletiva,2
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXVII,Eletiva,4,TOPICOS ESPECIAIS EM COMPUTACAO XXVII,Eletiva,4
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXVIII,Eletiva,4,TOPICOS ESPECIAIS EM COMPUTACAO XXVIII,Eletiva,4
mapeamento não direto,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO V,Eletiva,2,Projeto em Ciência e Inovação,Obrigatória,8
mapeamento direto,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO V,Eletiva,2,TOPICOS ESPECIAIS EM ENGENHARIA DE COMPUTACAO V,Eletiva,2
mapeamento direto,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO VI,Eletiva,2,TOPICOS ESPECIAIS EM ENGENHARIA DE COMPUTACAO VI,Eletiva,2
mapeamento não direto,TEORIA DA COMPUTAÇÃO N,Obrigatória,4,Teoria da Computação II - Computabilidade e Complexidade,Obrigatória,4
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO V,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO V,Eletiva,2
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VI,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO VI,Eletiva,2
mapeamento não direto,LÓGICA PARA COMPUTAÇÃO,Obrigatória,4,Lógica e Correção de Programas,Obrigatória,4
mapeamento não direto,LÓGICA PARA COMPUTAÇÃO,Obrigatória,4,Verificação e Teste de Software,Obrigatória,2
mapeamento não direto,TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA,Obrigatória,4,Projeto e Análise de Algoritmos I,Obrigatória,4
mapeamento não direto,COMPLEXIDADE DE ALGORITMOS - B,Obrigatória,4,Projeto e Análise de Algoritmos II,Obrigatória,4
mapeamento não direto,SEMÂNTICA FORMAL N,Obrigatória,4,Linguagens de Programação I,Obrigatória,4
mapeamento direto,INGLÊS INSTRUMENTAL PARA PROCESSAMENTO DE DADOS I,Eletiva,4,Ingles Instrumental para Processamento de Dados I,Eletiva,4
mapeamento não direto,CÁLCULO NUMÉRICO A,Obrigatória,4,Computação Científica,Obrigatória,4
mapeamento direto,CÁLCULO E GEOMETRIA ANALÍTICA I - A,Obrigatória,6,Cálculo e Geometria Analítica I - A,Obrigatória,6
mapeamento direto,CÁLCULO E GEOMETRIA ANALÍTICA II - A,Obrigatória,6,Cálculo e Geometria Analítica II - A,Obrigatória,6
mapeamento direto,ÁLGEBRA LINEAR I - A,Obrigatória,4,Álgebra Linear,Obrigatória,4
mapeamento direto,MATEMÁTICA DISCRETA B,Obrigatória,4,Matemática Discreta,Obrigatória,4
mapeamento direto,PROBABILIDADE E ESTATÍSTICA,Obrigatória,4,Probabilidade e Estatística,Obrigatória,4
mapeamento direto,VÍNCULO ACADÊMICO - ERE 2020/1,Eletiva,0,VINCULO ACADEMICO - ERE 2020/1,Eletiva,0
mapeamento direto,VÍNCULO ACADÊMICO - ERE 2020/2,Eletiva,0,VINCULO ACADEMICO - ERE 2020/2,Eletiva,0
temporalidade,Ingresso até Temp-4,Eletiva,0,Projeto em Ciência e Inovação,Obrigatória,8
temporalidade,Ingresso até Temp-5,Eletiva,0,Aprendizado de Máquina,Obrigatória,4
temporalidade,Ingresso até Temp-5,Eletiva,0,Programação Paralela,Obrigatória,4
temporalidade,Ingresso até Temp-6,Eletiva,0,Segurança de Sistemas e da Informação,Obrigatória,4
temporalidade,Ingresso até Temp-6,Eletiva,0,Processamento de Linguagem Natural,Obrigatória,4
temporalidade,Ingresso até Temp-7,Eletiva,0,Projeto Integrador,Obrigatória,8
